video,summary
TLYNPEZZ,The cat and deer are standing on top of the walls at night.
JZVXQGIW,"The heron is standing in the water, looking for food with its head down."
SBHIQPLS,The egrets and white birds are standing in the water next to tall grass.
NOHVSVKA,"The birds are standing, sitting, and walking through the grass, flowers, and fields."
MJOHIVEI,"The birds are standing or standing in the mud, near water."
EMEZHHGA,"The animals block the way, hiding from the cobra and finding a safe place to be."
IPTHEHAQ,"Birds and owls are standing, sitting, and nesting in the grass, with some accompanying their babies or young in the process."
ZFPAUFGA,"The hummingbirds drink, eat, take off, hover, perch, and sit on the flowers, while a butterfly is also shown eating from a purple flower."
WXAVARHW,The caterpillars and bugs crawl and climb on the leaves and plants.
UXBRVXDO,"The animals are fighting, playing, and chasing each other in the water."
LQXIDXMC,"The woodpeckers and black birds are pecking, standing, and climbing on the tree trunks and branches in the woods."
IOGNEVTI,"The ducks and penguins swim, splash, stand, jump, flap, and spread their wings in the water."
YHJZMMVW,The small brown birds perch and sit on tree branches.
GBVZRKRF,"Snakes sit, lie, and rest on the ground and in brush in the desert and on dirt roads."
YYXFVVEI,"The birds and ducks are swimming, standing, and wading in the water near reeds, grass, and tall grass."
NQFSRRJS,"The insects, including a grasshopper, sit on top of a rock."
XCQUDDAL,"The herons are standing, flying, eating, and playing in the water, with some holding fish, ducks, or even chicks in their beaks or mouths."
YMROMHDU,The birds are eating and sitting on the flowers.
UBRTSNQN,"Robins are perching and sitting on branches, often with their mouths or beaks open."
OUADCUPH,"The birds are standing in the water, drinking from the stream, and sitting on rocks."
MDKOCIYC,Birds sit on top of mounds of dirt and sand.
PWKALSQK,"The insects and centipedes crawl and move on various surfaces, including brick walls and the ground."
WBHZKUDI,The birds are sitting on branches.
THPFUXGD,"The insects are sitting, laying, and crawling on the ground."
ZSUUEJVY,"The birds, including goldfinches, golden wagtails, and golden-winged warblers, are seen feeding, flying, and sitting on flowers in the meadow."
DWPRVFFP,"Monkeys are climbing, playing, and standing near trees in the forest."
NDQBQKWA,Two iguanas are sitting on top of a rock.
KJDTKMHZ,"Snakes are moving around in the stream, with one sitting on a rock and another swimming near rocks and grass."
OJLVNOOZ,The black widow spider sits in its web.
QPCSWUDI,"Robins and other birds sit, stand, and perch on branches with their mouths and beaks open."
WNHFRIMN,The subsaharan hog-badger is walking through the woods.
OVUNCPIF,"The birds are standing or sitting in the grass, with some having their wings spread out."
IXUEPHGA,"Reptiles are most active in the rainy season, while giraffes are most active in the rainy season."
JREJHBME,The horses are grazing and walking in the woods.
HZUNBUDI,The birds are being photographed in close-up.
DQPBFHIS,The ants are crawling.
VWMEMKDQ,"Birds are flying over the marshy areas, standing in the middle, and flying with other birds."
SWQHGBXG,"Cranes are seen standing, flying, and gathering near water and in fields."
OIWKMLHH,"Frogs and lizards sit, walk, and sit again in the sand in the desert."
NLNMGPLS,"The birds (great egrets, great blue herons, and herons) stand in the water near tall grass."
NTCPTLSQ,The birds sit on or perch on branches with red berries.
RYBSNMVW,The birds sit or stand on various branches and sticks.
EHDSIADX,Woodpeckers sit and perch on tree branches in the snow.
AIOPYMVW,"The small brown birds sit, stand, and perch on various branches, logs, sticks, and tree trunks."
IWXYPIFB,"The animals move through the forest, stepping on and crunching through the fallen leaves on the ground."
KWBWUXYT,"The birds, including crows, ravens, and other species, are standing, flying, walking, fighting, sitting, and running in the snow."
CKAHLPTK,"The brown and white birds sit on tree branches, with some perched on top and others with their mouths open."
BIPZUIFB,The orange frogs are sitting on top of various plants and leaves.
TIKBFEWB,"The birds are standing in the water, sometimes next to each other and sometimes near grass."
NFXLJVKA,"The birds are standing and sitting on various surfaces, including dirt, grass, and stumps."
OVOUQKRV,The birds sit and stand on top of tree branches.
VHRCMWMK,"Animals such as birds, lizards, snakes, insects, and spiders are sitting, perching, and crawling on rocks, plants, and dirt in the desert."
NMUALLKI,"The insects, including a centipede, move on the white surface by walking and crawling."
PNPPXFFP,"The monkey is standing, walking, and looking around on the beach near the water."
YDAOIZQJ,The blue and white bird is perched on a tree branch.
KUXLLXGD,Two horses are fighting or playing with each other in the desert.
LBAGFSOB,"The snakes are lying in the grass, with one rattlesnake opening its mouth, indicating a potential threat."
YJOJAHFB,"Various birds, including pheasants, woodpeckers, and falcons, are standing, walking, and sitting in the woods."
ZXMGYPTK,The birds sit and stand on top of the tree stump.
DWSGQKOU,The yellow birds sit on various branches and a post.
ESGDIIFB,"Frogs are sitting on various surfaces, including fences, plants, tree branches, windowsills, and poles."
LKVVGEOD,Birds are sitting on top of trees and tree branches.
JRMUKVKA,Birds are sitting in nests or on the ground in the grass.
VSHUYPLS,"The white birds stand in various locations, including the water and shore of a lake, both individually and in groups."
MRFKHPTK,The small brown bird is sitting on a branch.
MBSJOFFP,The otters eat fish and other food items on rocks in the water.
AJCYBKDQ,"The egrets are standing, standing, and walking in shallow water near tall grass."
ZGSSACGB,"The animals, including frogs, birds, armadillos, snails, slugs, and turtles, are crawling, walking, and digging in the dirt and on the ground."
HOXCJVEI,"The birds stand, either on the shore or in shallow water, alone or in groups, near or next to each other."
