video_id,labels
XWEPLUDI,"104,102,2,15,68"
WUCONXGD,"2,68,100"
OQGKQEOD,"68,133,102,15"
SOWLXPTK,15
GZSZTMHZ,"62,21,68"
OINPZMHZ,"68,78"
GMQBWHVR,"68,8"
IFPOLPKK,"38,104,90,68,133"
JQVNQYMI,"68,102"
HWNLYUBE,45
OARMTNQN,15
WOXNKAOX,123
TKQVXPHK,"128,133,102,90"
DJPJCPHK,"2,133"
ZPQQIWUH,40
WNHFRIMN,"133,45"
EBFUENPL,"2,68"
EVMDGMHZ,8
ZXXNJPTK,"102,2,15,68,22"
XJBGQPKK,"133,102"
IHGIQMWW,15
YGZNFFUP,"68,102"
RTNCIHGA,"102,2,97,133,78"
NICSYEWB,"133,102,100"
RQUWTVMW,"68,78"
LBLDBXDB,"48,52"
SOOKZUXS,"68,78,102"
FWITNFXO,"48,52,102,135"
GTHSELOI,15
GDKSMHFB,"102,15,68,40,133"
TTHZGZIE,"40,78"
VERRHXYT,48
PLZBSPTK,"2,68,15"
JWGCFVEI,102
TEHDGKOU,"133,102"
QXJMDAMC,"133,46,74"
HFQVWSMJ,90
PJASJLDC,78
FONGYFUG,104
OKEXOOXJ,60
OLTFAWUH,15
CKFVZXGD,2
GUHDJIQR,"100,1,102,97"
IICCRHGA,"25,102,116,40,133"
OSUHTLSQ,40
ZDVJGDAL,"13,104,7,5"
AAUUFAMC,"139,74"
XMQLYKGZ,"68,49"
FTWTRRAC,"133,67"
UJVEZFNJ,"68,133"
JEUUUNQN,"2,15"
FPOHRXRE,"2,103"
GMOGIWBO,"52,102,67,27,40,133,13"
PEOXGKOU,"114,133,102"
QNUEJLSQ,102
PMGJWIQR,"26,102,1,51,97,100"
JFXFUXGD,"2,40"
OZIMMBQT,"109,102"
MWAYNPTK,"102,2,15,68,22"
UDSWXOTL,"48,47"
JROHVZIE,"68,69,102,90"
NNCQJRAC,133
ASYWWGJU,"40,1"
QJYCAFJY,68
COMGSYMI,52
TLWZBUDI,68
YEWEXEUL,102
GOAWOXDO,"133,102,100,47"
TOUYKXGD,40
LTYXFIYC,52
WUPEOPZC,68
EKJNSBQT,40
GMEMLCEI,68
FAYSZDAL,"2,68,52"
QMQRLLKI,68
FQFTEYTZ,"104,133,15"
IBYGVBRS,"69,78"
AFFUDFPE,"68,78"
EQFARDGW,102
KOLORXXP,78
JXXWOKDQ,"8,102"
XHHNDUPH,15
RNYQWNXN,102
DDBDNKOU,"52,102,128,15,67"
MMNQAEZZ,"3,40"
ZQPQZUPH,"1,123,45,51"
SVNCLPZC,"68,78"
IVZGJVEI,"49,102"
NQOMPVKA,"115,102,15"
FOSNLWUH,48
CPSYAUUK,"102,15"
NZOIIVDY,"102,15"
GPMMSKOU,102
EUKZKPHK,102
RNQJYLHH,"81,68"
MIBORKEW,76
VCSHIMYV,2
OBTNOIQR,"39,8,102"
SSSOCMRN,"2,48,133"
FRVMXUDI,"104,102,2,15,68"
JETLEPTK,"68,102,15"
VKJRCMHZ,"62,21,68"
WKGDSELW,"68,78"
XCFNTXYT,"2,99,102"
SYWEWNPL,"128,15"
HYGTXBQT,102
HTEALVKA,"2,133,102,15"
TYNCXTFT,"38,26,27,102"
KSDNNLVZ,"68,133"
KHRXDIBW,"104,40,8"
OBBSIGIW,90
ZLCMSFXO,68
CLOYIFFP,76
PDGDBFXO,"104,48,102,135"
KAQGWVTI,"104,48,68"
ESJIKDAL,"68,133,102"
IHUHHEOD,"52,102,69,68,133"
OBSUPPKL,78
NCLRTLOI,133
DTXTKPKK,"38,104,102,90,68,133,46"
TSOUTFFP,133
GIOJIPIF,"133,102,1"
JZJAMVKA,"68,15"
CEXHNXGD,"104,102,45,68,133"
QHDUEHFB,15
USHQPNSU,102
TZTMXXGD,"68,67"
RAFWEEBY,133
ADPZMEUL,112
LFBFPNQN,"102,15"
JVJFFUDI,"2,68,15"
APYFCCIN,69
XRIAMLHH,"42,1,67"
XZPJHEUL,112
NJSLHPKK,"68,133,90"
SBSATFGA,"69,52,133"
KOHDTJBD,128
TZAKUBGU,"78,43"
UDNSODKB,40
YYTNYBME,"133,102"
LSDSGXTD,78
DVVSWLHH,"78,65"
MCCANOIM,78
CUOZKELW,78
PNBUMRAC,"68,40,133,78"
WSZFLNJC,68
RRGJEVYU,"2,133,102"
SZDSGVEI,103
POGXIKOU,"102,15"
RWLALPTK,"2,68,15"
MJJATMYV,68
CRVFAKGZ,"68,49,102"
LBZJBVKA,"133,102"
VDQIWBXG,"104,32"
KUEOTPHK,99
OIGNTEWB,"102,90"
DJRAVWTR,94
XMUQKHVR,68
VFWXAVEI,"104,102,2,128,15,68,40,133"
HOBGXXGD,133
EENLCMHZ,"21,68"
IKAYNKTH,"49,102"
DBTUNPKK,"52,133,102"
WQANPDCC,67
HORFUNQN,15
PXCPTPIF,133
