video,summary
B0028.5,The animals are standing or standing next to the river.
B0316.2,"The animals, including baboons, monkeys, leopards, and a dog, are walking on the ground and dirt roads in various locations, including the desert."
B0884.7,"The eagle sits on a rock in the water, while a monkey stands on a rock and a crocodile is swimming in the water."
B0082.6,The baboons are sitting in the branches of a tree.
B0669.32,The baboons are sitting in and on trees.
B0284.4,"The animals are walking on the ground, including baboons, monkeys, birds, and kangaroos, both on dirt fields and roads, and in the desert."
B0790.10,"The animals, including baboons, monkeys, and kangaroos, are sitting in trees."
B0645.4,The baboons sit on tree branches.
B0398.1,"Monkeys and baboons are sitting on rocks in various locations, including forests, deserts, and rivers."
B0996.37,"The baboons and monkeys are sitting, standing, and perching on rocks and cliffs."
B0660.51,Monkeys and baboons are hanging from and sitting in trees.
B0889.51,"The animals, including monkeys, baboons, and a lion, are walking, sitting, and standing on the ground, rocks, and water's edge."
B1058.11,"The bears and monkeys are standing, sitting, and perching on cliffs and rocks."
B0985.8,"Monkeys and baboons are sitting, standing, and perching on top of and beside rocks and cliffs."
B0860.18,"Animals are standing, sitting, and perching on rocks, logs, and in the water."
B0646.14,The baboons are sitting.
B0767.38,"The baboons are sitting on top of various surfaces, including trees and hills."
B0963.25,"The animals are sitting on rocks, including birds, monkeys, and baboons, often in groups, and sometimes in the desert or sun."
B0188.6,"Elephants and animals are sitting, standing, and standing on top of rocks in and next to the water."
B0741.29,"Baboons sit, sit, and sit some more, perching on tree branches and tops in both the wild and desert."
B0957.15,"The baboons gather around a water hole, drinking water from a small pool."
B0799.20,The baboons are sitting in a tree.
B0698.7,"The giraffe, elephant, lion, and other animals are standing, sitting, and eating in trees, while also scavenging for food on the ground."
B0650.9,The baboons are sitting in and on the branches of the tree.
B0765.40,A baboon is sitting on a tree branch.
B0831.10,The animals swim and play in the water around the rocks.
B0071.4,Baboons sit on tree branches.
B0783.51,"Monkeys sit and sit in trees, sometimes with their mouths open."
B0839.9,Animals are sitting on rocks in the water.
B0819.38,"Animals, including monkeys, stand on top of rocks."
B0769.3,The monkeys and baboons are sitting on or in tree branches.
B0044.2,The baboons are sitting.
B0687.43,Baboons are sitting in trees.
B1024.61,Monkeys and baboons are sitting and standing on top of rocks.
B0675.62,"Baboons sit, sit, and sit some more, both alone and with others, in and on trees."
B0890.5,"The animals, including monkeys, elephants, and a mountain lion, are seen sitting, walking, and sitting on rocks."
B0795.42,"Monkeys and baboons are climbing, hanging, sitting, and perching in and on trees."
B0674.12,"The baboons, monkeys, and an elephant are all sitting on or in trees."
B0766.9,"Baboons sit or sit on top of various surfaces, including hills, trees, and branches."
B0933.19,"The baboons and monkeys are standing, drinking, and gathering around water sources."
B0051.5,"The baboons are seen sitting and standing in the trees, while the elephants are standing in various locations, including trees, fields, and the savannah."
B0912.17,"The animals are sitting, laying, and resting on rocks and the ground in the desert."
B0636.63,"The monkeys, baboons, and birds sit on top of trees and tree branches."
B0266.5,"The kangaroos, monkeys, birds, and baboons are walking and roaming across the desert."
B0946.3,"The baboons and monkeys are seen standing, drinking water, and gathering around rocks and water sources."
B0643.8,"Baboons stand on top of trees, branches, and piles of branches, and also stand on the ground, in the brush, and in the grass."
B0738.24,"The animals are sitting, standing, and perching in trees, near dirt roads, rivers, and forests, with elephants, giraffes, monkeys, and baboons all present."
B0668.27,"Baboons sit, sit with others, and sit in trees in various locations, both alone and in groups."
B0786.47,"The gorillas and baboons are standing, sitting, and walking in the trees."
B0466.10,"The monkeys and baboons are standing, walking, and playing on rocks, ground, and hillsides."
B0713.35,The baboons sit in or on trees.
B0961.1,"The baboons are standing, sitting, and walking on the rocks and ground."
